input,label
"`   :Incidentally, re naming conventions: the only convention I know of that would be relevent here is Wikipedia:Naming conventions (common names), which states ``Use the most common name of a person or thing that does not conflict with the names of other people or things.```",0
"  ::I disagree. I would leave it out of the introductory part, since its population (which changes every census) is not nearly as fundamental as the fact that it is in a particular state, its county seat is whatever it is, andstuff like that. Also, if Wikipedia survives till 2010, someone will have to be careful to change it in both places!  BRG  ",0
"  :::I don't know where you got the idea that Mt. Airy's in 4 counties. It's only in two. Were you the one, Tokerboy, who added two counties to the two I'd listed when I put it into the Frederick County article?  BRG 10/22",0
"  Ezra, you have got to be kidding with this page. You are taking one of many interpretations of Judaism and giving it sole legitimacy, often with simple rhetorical claims. Even within Orthodox circles many of the views you express are controversial at best (and often considered shtus). Please fix it up or I will do it myself, and I do know my stuff. ",0
"`  ::::: There's nothing particularly objectionable about this to me - however, how ``rough`` is the equivalence?  It seems to me that even on a Septuagint-centric view of the Old Testament, it matters that one believes the Septuagint is the Old Testament of Christianity when there is a difference on some point (and only then IMO).  In those cases, it can be pointed out as emphatically as one would like, that ``the Old Testament of Jesus and of the Apostles, was the Greek Septuagint; and the reason that matters in this case is because the Septuagint was translated to say yada-yada, whereas the Hebrew version is more ambiguous.``   `",0
  :::Yet more:  Follow the whole thread if you like. mav,0
"  Hi Alex  Just thought I ought to mention that not ALL self-links are unwanted - you removed one in List of musical topics that was wanted and its presence was requested on the Talk page. I think there are a few in maths topics which make this clear - something to do with keeping an eye on updates? It's not clear to me how this whole issue works (in fact I thought I'd raise it in the village pump) some time, but thought I should mention it to you anway. Regards  11:33 Dec 26, 2002 (UTC)",0
"   Early Imperial, Mid-Imperial and Late Imperial China periodization is a way of periodization but not the only way. Supporters of Chinese Marxist interpretations might not agree with that. It's better to put under Periodization of Chinese_historiography so the History of China article will be as NPOV as possible. kt2",0
"    The references to the Congolese economy seem to be throwing you off. This should not be so. As I’ve said earlier, referring to Belgian atrocities in the Congo Free State without referring to surplus value, labor as a commodity and mass-production is like detailing the Holocaust without discussing anti-Semitism.",0
"`   I cut the following paragraph, which misleads people about biology: :A few points are worth clarifying about ``nature`` and ``nurture``. First, ``nature`` does not reduce to anything as simple as ``present at birth``. Height is thought to depend very extensively on genetics, for example, but one is not born adult-sized; one must slowly grow up.  The problem is clear in the example: height certainly does manifest itself over time as one ages.  But insofar as height has a ``natural`` component, it is' present at birth in the genome.  It is just that whatever genes code for height do not manifest themselves immediately.  But they are there at birth.  The real problem with using height as an example of something that is ``nature`` but not immediately manifest at birth is that height is of course determined by ``nature`` and'' ``nurture,`` or, if you prefer, genes and environment.  this is the whole point of Boas's important studies on height; height is clearly highly heritable, but children of immigrants to the US had much higher average adult heights than their parents, presumably because of better nutrition in the US.  I believe nature is best understood as things that are indeed innate (present at birth) as long as we recognize that things that are present at birth genetically may manifest themselves over time.  How else are we to distinguish a physical feature like height (that heritable part of it) from physical features like scars  which appear later in life and do mark the body noticably, but which are clearly not ``natural?`` `",0
"  Dear Mav: Thanks, bro! God bless you!  Sincerely yours, *",0
On Google Vereenigde Oost-Indische Compagnie gets more hits than Vereenigde Oostindische Compagnie which is correct?,0
"`  :Yes, thanks! I have implemented something similar on the test wiki just yet (instead of the ``enhanced recent changes``). Looks good, but the roll/unroll button doesn't work, partly because of bad Mozilla rendering (see ), partly because of my lousy JavaScript ;-) :If you know how to fix it, go ahead!  20:12 Jan 16, 2003 (UTC)`",0
"```2000's: The Jewish blood-libel myth continues to circulate among many Muslim countries.`` - this is the only stuff relevant to present day, though there's lots of historical blood libel content which makes it a good source on the history`",0
MarcusAurelius]]   Why exactly was this user banned? ,0
"There is no such thing as Christian religiocentrism. Come off it. Please stop making up words and writing articles on subjects which don't exist. Christians are not even an ethnic group!  If you want to write an article on pro-Christian bias, or pro-Christian theology, or pro-Christian antyhing, then come up with a specific idea, a title based on fact, and start writing content that refers to and relies on scholarship. ",0
"`  :Click on my ``Annoying Users`` link! I guess Massachusetts is a republic, then?  Defending facts against the lies of determined zealots seems to be a particular sticking-place for Wikipedia (   02:58 Feb 21, 2003 (UTC)`",0
"The link to SGC Belfry Ted Nude-Gent is dead. Could someone update it to something relevant, perhaps an article on the subject? ",0
"Really, is it WIntel, this is, W(indows) + INTEL ??",0
`Where's the 24 defendants figure coming from? ``Nuremberg and Vietnam: An American Tragedy`` by Telford Taylor (U.S. Chief Counsel at Nuremberg) mentions 200.  `,0
"`  Am glad you have asserted we are all equal. That is the fundamental operationial requirement to be an open website where no ``community`` can exist to oblige others to do things their way. Also, I hate to break your heart, but 'no one has done a thing on listing the communes of France for quite some time. I did about 8-12 in the last day or so. Are you or others going to finish? Should I stop? .`",0
  Iraq is not good  ===  ===  USA is bad   ,1
"  Perhaps it was possible to have dual citizenship, or as you said, maybe he switched back and forth multiple times.  But he certainly did serve as directory of Physics Institute at the Kaiser Wilhelm Society for the Advancement of Sciences from 1914 to 1933.  If he had no alligiance to Germany all that time, indeed it would seem odd (perhaps even unethical) to accept such a high ranking position for nearly 20 years, and enjoy all the benefits.  He certainly developed the bulk of his scientific achievements there.   03:58 Apr 5, 2003 (UTC)",0
"I moved this one off the page:  :A common misconception is that affirmative action is automatically synomous with benefits for minorities. However, majority groups have been afforded affirmative-action advantages, such as for the Fijians in Fiji, and the Malays in Malaysia.  That seems counter to the very definition of affirmative action.  By this criterion, the anti-Jewish laws in early Nazi Germany were affirmative action, as were the Catholic penal laws in England in the 18th century?",0
"  Oh the joy of nutters! Anyway, I see the Rachel Corrie photomontage shrine is back. -(",0
"`  ``The WTC Towers were constructed almost entirely from steel coated in asbestos, and the attacks released dense clouds of dust into the air of Manhattan. Death usually follows asbestos inhalation only after fifteen years or more - so is possible that other victims of the attacks may die over the decades to come.`` I remember either the TV or newspaper specifically saying at the time that the WTC towers didn't contain asbestos, which account is incorrect?`",0
"  Wow! Quite long dispute. I know from specialist that former Iraqi president full name was Saddam Hussein at-Tikriti. (simplifying to western people first name, second name and surname). In mid-70's he resigned from at-Tikriti because many people used this name to help their careers (they called themselves at-Tikriti) and made call him just Saddam Hussein. This specialist (arabist from Poland) told that it is right to call former Iraqi president just Saddam because this is his name, Hussein and at-Tikriti are to help not to confuse him with other Saddam's.  15:54 Apr 21, 2003 (UTC)",0
"  Hi Mav, could you please look at the Irish Houses of Parliament. I put images to accompany my text on there. I know they are probably too big (I don't yet have the ability to shrink images yet -( ) but cropping them would cut off important bits of the image. Everyone seems very happy with the contents and images, but some browsers and screens may have problems due to their size. I trust you completely, having seen the standard of your work and would welcome any help you could give to make the images more screen-friendly. PS I hope no damage was done with that electrical storm. lol  22:59 May 10, 2003 (UTC)",0
"  : You're probably right about the modern Greek dictionary. I would extend the period under consideration to between the second century BC to the second century CE, so as to include usage at the time when the Septuagint was translated. But realistically speaking, it probably makes no difference at all to the usage of parthenos, or if it does matter a hair either way the references we have won't be that specific. ",0
"  :I like a good mystery! I think I've localized this (Lavia -> Latvia helped), and cleaned up a bit of language, though I have as yet no verification that either the estate or the stone exists.   20:00 20 May 2003 (UTC)",0
" Oops. I'd never even noticed the move page link before. No, I'm not an admin. Only been here a month. It seems longer. -) Anyway, I'll bear it in mind next time, but I'll let you decide if it's worth doing what you suggest in this instance.  08:57 21 May 2003 (UTC)",0
"I think this page should include a reference to the important free Go-playing program GNU Go.  In the absence of Wikipedia pages describing Go++, Many Faces of Go and GNU Go, why not provide external links to pages describing these programs?",0
  ::I just had a phone conversation with Steve Ignorant and asked him if it's true that Pete Wright was ever with Trapeze in 1976 before Crass in 1977. He said 'yes' it's true that Pete Wright worked with Trapeze in 1976.  ,0
"    ===Deletion of a phrase ===  Last week, a one-time Anon, 218.170.11.195 commented on the difference between the old and new census on the number of Taiwanese of Chinese ancestry:  : The disparity in the numbers may be due to racism, the understanding in Han families that children belong to the man and the need by later governments to forge greater ethnic ties to China. [emphasis added]  How does patriarchy play a role? Is it implying that Han fathers married aborginal women, whose children they had were claimed by the father and deemed by society to be father's only? This reason is not obvious and whose validity I cannot prove. It requires some elaborate explanations, but then, if so, it'd not fit in the basic intro of Taiwan. Perhaps in better fitted in Census of Taiwan or Demographics of Taiwan. And it requires serious rephrase.    22:20 17 Jun 2003 (UTC)",0
  :His tone is interesting; I don't ever recall Jimbo ever giving him the authority to speak for Wikipedia. mav,0
"   Hi JT - just so you know, your bestest friend  left a little love letter for you here (rather abusive it was) - I've reverted it, but thought I'd mention its (temporary) existence. Cheers",0
"`Some inconsistencies in usage here.  Please indicate if this is wrong:  *sira is the life of Muhammad, during which the revelation (Qur'an) was dictated, and during which he spoke the authentic hadith *sunnah consists of both hadith and sira (example) *hadith are validated by isnah, ``backing``, a science of its own *hadith are extremely significant as social rules and moral guidance  If this is all so, why aren't there separate links in this article to sira and sunnah, and why doesn't this article list some undisputed hadith?  The article on isnah already describes the process, and on early Muslim philosophy already describes the significance of this in the Islamic culture of scholarship.  So, this article should be only about the actual hadith, while a sunnah article can be about the use of the sira and hadith in practice today and in history...?  It wouldn't matter much except there are some redundancies here with isnah.`",0
"`    Hi Ant, I was just wondering why you did not put anything at all on your ``Homepage``. Sometimes it is nice to know who you are talking to, but the first line I saw on your page was the ``ban``-line...  I look forward to learn something about you, your articles and comments gave me a good impression.  Greetings from Munich,  12:56 3 Jul 2003 (UTC)  PS: I think, if you sign with three ``~`` instead of ``Ant`` it is easyer to understand who wrote the comment.`",0
"`  Please note that your comment that ``What you are saying is that YOU have never heard of Exeter. This is your problem. Perhaps you should read [1] and enlighten yourself. Whatever, my point remains that the word Exeter is most associated with Exeter in Britain, and this is the convention.`` is more insulting than my characterizing a tiny place of 100,000 as a ``jerkwater town.`` which it is! I know more about British geography than 99% of Americans - I remember in an online chat with some guy from Sheffield that he was surprised that I knew Sheffield was a city, as I was the first American he'd spoken to who had even heard of it. I think _you_ should enlighten yourself. You referred to a Google search that found most of the links to the name Exeter referring to the city in the UK. What proportion of those were from sites in the UK? If you can find even _one_ site anywhere that is put up by someone outside the UK that uses ``Exeter`` unqualified to refer to the one in England, and does not preface that with some reference to England, Britain, or the UK (to make it clear that he's talking about UK places!) I would like to see it!     July 10, 2003`",0
"  *207.44.148.201 was  who forgot to log in. With the advent of personal computers and the internet, the 'third way' you talk about has become much more viable than in the olden days of typewriters and photocopy machines. Just look at what the 'third way' is doing to the music industry. That said, looking at self-publishing as a whole, I believe your success still represents a statistically-rate exception.  :As far as POV, if it ain't NPOV, correct it. That's what Wikipedia is all about. Recognize, though, that writing about a subject with a perfectly NPOV can appear to have a biased POV to someone with a stake in the subject.  ",0
" - Hi Steve. I know you've been here since April, but I've only just realised you haven't had an official Wikipedia Welcome - so here it is: Welcome!.  I hope you enjoy editing here and being a Wikipedian. If you ever have any questions, check out the help pages or add a question to the village pump.  ",0
"`   Okay, replacing the sudden unexplained change of ``Top Hits`` changing from published sheet music to recordings in 1935, I gave all the years from 1916 in music through 1935 in music seperate ``Top Hit Songs Printed`` and ``Top Hit Recordings`` categories, which seems to reflect the gradual shift in the driving forces of the music industry. More work needs to be done, and I'd like to extend the ``Hit Records`` category back a few more years if I can find decent data. I'm still gradually cleaning up the categories.   20:29 15 Jun 2003 (UTC)`",0
"`  == Stone-throwing incident ==  I have moved the following section here. It is not that I deny it happened nor that it is relevant, but I believe it is ludicrous for to devote this much space to the incident in such a short article. I will try to research the matter and rewrite it in 1/3 the space, but personally I think it would be more useful to expand the section on his academic work, ie, Orientalism, which is much more interesting and important.     :In July 2000 Said travelled to Lebanon, where along with other Arabs he began hurling large rocks into Israel towards a group of Israeli soldiers.  Agence France Press released a photograph showing him during this attack. When asked about this event, Said told reporters that this was ``a symbolic gesture of joy``, and aimed at an empty place. Eyewitnesses claim that Said was lying; The London Daily Post reported that Said was observed hurling stones, in a group, at Israel soldiers in an Israeli watchtower.  :Said was criticised for this action by the moderate Arab Press. A report in the Beirut Daily Star stated that they were disappointed that a scholar ``who has labored ... to dispel stereotypes about Arabs being 'violent'`` reversed couse, and let himself ``be swayed by a crowd into picking up a stone and lofting it across the international border.`` The student newspaper where he teaches, the Columbia Daily Spectator, commented that Said's ``hypocritical violent action`` was ``alien to this or any other institution of higher learning.``   :Several months later, in an interview with an Israeli newspaper (Haaretz English Edition, August 18, 2000) Said reversed his story, and denied his previous description. He now claims ``in fact what happened was that my son and some of the other young men were trying to see who could throw stones furthest. And since my son is a rather big fellow - he is an American who plays baseball - he threw furthest. My daughter said to me, 'Daddy can you throw a stone as far as Wadia?' and that of course stirred the usual kind of oedipal competition. So I picked up a stone and threw it.`` This latest revision is commonly held to be facetious.`",0
"  I've had a look at Albatross (I put the pics in the position you found them) and I think we have an unimprovement (if such a word exists). I had them in a column on the right, you have them on either side of the page with a narrowish gutter of text down the middle. It looks odd on my 1024 by 768 screen and would surely be a very narrow gutter on the 800 by 600 resolution that some people use. I can't test 800 by 600 because the resolution change would leave all my desktop icons piled up in one corner when I return to 1024 by 768 and it's a pain restoring them all back to position.  I won't revert because they're not my pics so I don't have any strong feelings. I'll leave the decision to you, Jim.   ",0
"`    Quite apart from the grammatical/vocabulary problem (``when vocabulary duty's to be done, to be done``), I think ``Though the governor-general may fulfill many of the roles of a head of state, s/he is not a head of state themselves, but the representative of the head of state`` needs tidying up - for instance, this is not true of Australia. But I don't want to improve the Australian side of things at the expense of accidentally misrepresenting how it is elsewhere. So, before I jump in with both feet, I want to offer other experts the opportunity to get it better expressed than I can myself (``be 'umble, Uriah, be 'umble``). PML.`",0
 to give you a citation of th title of it,0
" Actually, there was an edit war over the content of Saddam Hussein's user page. My comment was directed at that edit war.   ",0
"  ::::No, I guess not, not if you've quit. Maybe you haven't really. Or have you? Never mind. Have a good evening, wherever you are!   ",0
  Thanks for reverting my user page yesterday after / vandalised it.  ,0
"  -  Hi MRD. I've done a search and there seem to be no further pages in the same scheme as France: Wars of Religion/Bourbon Dynasty. The place to co-ordinate their integration would be Talk:History of France, I've put a note there for when someone has time to deal with it. cheers.   ",0
  :::Is the GTK exemple serious ?  ,0
  ==External Links==  *BBC - On This Day,0
`  Buddha - ``Some suggest that victims should be referred to additional resources and made aware of their rights under policy and law.``  That's an incredibly silly way to phrase that.  `,0
`  I just want to say that ``separation of church and state`` has been invented in Muslin countries before it existed in Europe. The Catholic Church wasn't obviously a great fan of this idea it accepted it under the pressure of governements....   `,0
"`  Now that the edit war seems to have died down. I just want to add a little about privatization and free market. Even while the neoliberals ofcourse want to put an equal sign between free market and privatization, very few privatizations are ever made that actually increases the competition in the market. Because if the buisness that is sold to private owners has a monopoly before it is sold, it ofcourse will to after it has been privatized. And if the company is sold while it is already subjected to competition it will to after it has been privatized. Indeed, privatization has nothing to do with ``free markets``, but is only a transferment of public property to private hands. Ofcourse that argument will not keep the neoliberals from claiming the Second Return of Messiah as long as we privatize and the Doomsday if we dont. But atleast we do not have to use their rhethorics.  `",0
"BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS, BOOBS",0
